class,precision,recall,f1-score,support
차밀리다,0.9111111111111111,0.9647058823529412,0.9371428571428572,85.0
창문,1.0,0.25,0.4,4.0
찾다,0.8540145985401459,0.9194499017681729,0.8855250709555346,509.0
천안아산역,0.9099099099099099,0.9711538461538461,0.9395348837209302,104.0
천천히,0.0,0.0,0.0,0.0
천호,0.7058823529411765,0.7058823529411765,0.7058823529411765,17.0
철로,0.859375,0.9166666666666666,0.8870967741935484,60.0
첫차,0.8316831683168316,0.9230769230769231,0.875,91.0
청음회관,0.8666666666666667,0.6842105263157895,0.7647058823529411,95.0
추가,0.0,0.0,0.0,0.0
춥다,0.6176470588235294,0.65625,0.6363636363636364,32.0
충분,0.0,0.0,0.0,0.0
충분하다,0.0,0.0,0.0,0.0
