class,precision,recall,f1-score,support
막차,0,0,0,0
만나다,0,0,0,0
만원,0.943396226,0.943396226,0.943396226,53
말하다,0,0,0,0
말해주다,0,0,0,21
맞다,0.909975669,0.930348259,0.9200492,1608
맥도날드,0.881889764,0.903225806,0.892430279,124
명동,0.87804878,0.917197452,0.897196262,157
몇분,0.895833333,0.781818182,0.834951456,55
몇사람,0,0,0,0
몇호,0.901408451,0.96969697,0.934306569,66
모르다,0,0,0,0
목적,0.84184514,0.9125,0.875749786,560
무엇,0.873142857,0.902007084,0.887340302,847
문,0.652173913,0.681818182,0.666666667,22
문안열리다,0.970588235,0.804878049,0.88,41
문자받다,0.761904762,0.296296296,0.426666667,54
문자보내다,0.894736842,0.653846154,0.755555556,26
물건,1,0.1,0.181818182,30
물품보관,0.93768546,0.951807229,0.944693572,332
미안합니다,0,0,0,0
바꾸다,1,0.545454545,0.705882353,11
반갑다,0,0,0,0
반대,0,0,0,0
반지,0.916666667,0.846153846,0.88,39
받다,0.75,0.829787234,0.787878788,47
발생하다,0,0,0,0
밤,0,0,0,0
방법,0.901046622,0.920310982,0.910576923,1029
방황,0,0,0,0
백화점,0.916666667,0.958715596,0.937219731,218
