class,precision,recall,f1-score,support
틈,0.8478260869565217,0.8666666666666667,0.8571428571428571,45.0
파리바게트,0.9247311827956989,0.9555555555555556,0.9398907103825137,180.0
편의점,0.8444444444444444,0.95,0.8941176470588236,40.0
편지,0.8957055214723927,0.9419354838709677,0.9182389937106918,155.0
표,0.75,0.4090909090909091,0.5294117647058824,22.0
표지판,0.0,0.0,0.0,0.0
필요,0.8879310344827587,0.9279279279279279,0.9074889867841409,111.0
필요없다,0.0,0.0,0.0,0.0
하나,0.6153846153846154,0.8275862068965517,0.7058823529411765,29.0
하루,0.0,0.0,0.0,0.0
학교,0.7682926829268293,0.7590361445783133,0.7636363636363637,83.0
한국농아인협회,0.6842105263157895,0.8813559322033898,0.7703703703703704,354.0
한달,0.0,0.0,0.0,0.0
할수있다,0.0,0.0,0.0,6.0
항상,0.7341772151898734,1.0,0.8467153284671532,58.0
해보다,0.0,0.0,0.0,0.0
핸드폰,0.525,0.5,0.5121951219512195,42.0
